age,gender,education,years_of_experience,job_title,job_location,city,nationality,salary_inr_lakhs
48,Male,M.Tech,23,Software Developer,Urban,Hyderabad,Indian,48.3
36,Female,B.Sc,11,System Admin,Urban,Chennai,Indian,18.2
31,Male,PhD,6,Data Scientist,Urban,Mumbai,Indian,31.9
28,Female,B.Tech,3,Frontend Developer,Urban,Pune,Indian,9.7
44,Male,MBA,19,Product Manager,Urban,Ahmedabad,Indian,63.2
32,Female,M.Sc,7,ML Engineer,Urban,Bangalore,Indian,32.8
40,Male,B.Tech,15,DevOps Engineer,Suburban,Delhi,Indian,33.1
25,Female,B.Com,0,Business Analyst,Urban,Mumbai,Indian,11.6
53,Male,PhD,28,Data Scientist,Urban,Chennai,British,89.7
37,Female,M.Tech,12,Software Developer,Urban,Kolkata,Indian,25.3
30,Male,Diploma,5,System Admin,Rural,Lucknow,Indian,8.9
46,Female,MBA,21,Product Manager,Urban,Pune,Indian,67.8
33,Male,B.Tech,8,Backend Developer,Urban,Bangalore,Indian,21.4
29,Female,B.Sc,4,QA Engineer,Urban,Hyderabad,Indian,8.1
41,Male,M.Sc,16,ML Engineer,Urban,Mumbai,Indian,54.7
27,Female,B.Tech,2,Frontend Developer,Suburban,Chennai,Indian,7.9
52,Male,PhD,27,Data Scientist,Urban,Delhi,Indian,78.2
38,Female,MBA,13,Product Manager,Urban,Bangalore,Indian,58.9
31,Male,B.Com,6,Business Analyst,Urban,Kolkata,Indian,14.7
28,Female,M.Tech,3,Software Developer,Urban,Pune,Indian,15.2
45,Male,B.Tech,20,DevOps Engineer,Urban,Ahmedabad,Indian,34.8
34,Female,B.Sc,9,System Admin,Suburban,Jaipur,Indian,11.6
26,Male,Diploma,1,QA Engineer,Rural,Lucknow,Indian,3.9
49,Female,PhD,24,ML Engineer,Urban,Mumbai,Indian,89.1
36,Male,MBA,11,Product Manager,Urban,Chennai,Indian,48.3
32,Female,B.Tech,7,Backend Developer,Urban,Delhi,Indian,20.8
39,Male,M.Sc,14,Data Scientist,Urban,Bangalore,Indian,42.6
25,Female,B.Com,0,Business Analyst,Urban,Hyderabad,Indian,7.2
47,Male,M.Tech,22,Software Developer,Urban,Kolkata,Indian,41.7
35,Female,B.Tech,10,Frontend Developer,Suburban,Pune,Indian,16.1
43,Male,PhD,18,ML Engineer,Urban,Mumbai,German,108.6
30,Female,MBA,5,Product Manager,Urban,Chennai,Indian,28.4
27,Male,B.Sc,2,DevOps Engineer,Urban,Bangalore,Indian,12.9
51,Female,M.Sc,26,Data Scientist,Urban,Delhi,Indian,71.8
38,Male,B.Tech,13,Backend Developer,Urban,Ahmedabad,Indian,24.7
29,Female,Diploma,4,System Admin,Rural,Jaipur,Indian,6.8
44,Male,MBA,19,Product Manager,Urban,Hyderabad,Indian,68.4
33,Female,B.Com,8,Business Analyst,Urban,Mumbai,Indian,22.9
40,Male,M.Tech,15,Software Developer,Suburban,Chennai,Indian,28.7
26,Female,B.Tech,1,QA Engineer,Urban,Bangalore,Indian,7.3
48,Male,PhD,23,ML Engineer,Urban,Kolkata,Indian,71.2
37,Female,B.Sc,12,Frontend Developer,Urban,Pune,Indian,19.8
31,Male,MBA,6,Product Manager,Urban,Delhi,Indian,34.7
28,Female,M.Sc,3,Data Scientist,Urban,Mumbai,Indian,19.4
42,Male,B.Tech,17,DevOps Engineer,Urban,Bangalore,Indian,38.6
35,Female,Diploma,10,System Admin,Suburban,Hyderabad,Indian,13.2
29,Male,B.Com,4,Business Analyst,Urban,Chennai,Indian,13.8
46,Female,PhD,21,ML Engineer,Urban,Ahmedabad,Indian,62.4
34,Male,M.Tech,9,Software Developer,Urban,Kolkata,Indian,22.1
27,Female,B.Tech,2,Backend Developer,Rural,Lucknow,Indian,9.4
53,Male,MBA,28,Product Manager,Urban,Mumbai,Indian,118.6
39,Female,B.Sc,14,QA Engineer,Urban,Pune,Indian,16.2
32,Male,M.Sc,7,Data Scientist,Urban,Delhi,Indian,27.8
28,Female,B.Tech,3,Frontend Developer,Urban,Bangalore,Indian,11.7
45,Male,PhD,20,ML Engineer,Suburban,Chennai,Indian,63.1
36,Female,Diploma,11,System Admin,Urban,Hyderabad,Indian,15.8
30,Male,MBA,5,Business Analyst,Urban,Mumbai,Indian,24.7
41,Female,M.Tech,16,Software Developer,Urban,Kolkata,Indian,29.4
26,Male,B.Com,1,DevOps Engineer,Urban,Jaipur,Indian,8.7
52,Female,PhD,27,Data Scientist,Urban,Bangalore,American,118.3
37,Male,B.Tech,12,Backend Developer,Suburban,Pune,Indian,24.8
33,Female,B.Sc,8,QA Engineer,Urban,Chennai,Indian,11.2
29,Male,M.Sc,4,ML Engineer,Urban,Delhi,Indian,21.9
44,Female,MBA,19,Product Manager,Urban,Ahmedabad,Indian,63.7
31,Male,Diploma,6,System Admin,Rural,Lucknow,Indian,8.9
28,Female,B.Tech,3,Frontend Developer,Urban,Mumbai,Indian,12.4
47,Male,M.Tech,22,Software Developer,Urban,Hyderabad,Indian,45.2
38,Female,B.Com,13,Business Analyst,Urban,Bangalore,Indian,26.1
25,Male,B.Sc,0,Data Scientist,Urban,Chennai,Indian,11.8
50,Female,PhD,25,ML Engineer,Urban,Kolkata,Indian,72.4
36,Male,MBA,11,Product Manager,Suburban,Pune,Indian,42.7
32,Female,B.Tech,7,DevOps Engineer,Urban,Delhi,Indian,19.2
39,Male,M.Sc,14,Backend Developer,Urban,Mumbai,Indian,35.7
27,Female,Diploma,2,QA Engineer,Urban,Jaipur,Indian,5.8
49,Male,PhD,24,Data Scientist,Urban,Bangalore,British,98.6
35,Female,M.Tech,10,Software Developer,Urban,Hyderabad,Indian,26.8
31,Male,B.Com,6,System Admin,Suburban,Chennai,Indian,11.7
28,Female,MBA,3,Business Analyst,Urban,Kolkata,Indian,18.9
43,Male,B.Tech,18,ML Engineer,Urban,Ahmedabad,Indian,47.2
34,Female,B.Sc,9,Frontend Developer,Urban,Pune,Indian,16.4
30,Male,M.Sc,5,Product Manager,Urban,Delhi,Indian,31.2
46,Female,PhD,21,Data Scientist,Urban,Mumbai,Indian,72.8
37,Male,Diploma,12,DevOps Engineer,Rural,Lucknow,Indian,16.1
29,Female,B.Tech,4,Backend Developer,Urban,Bangalore,Indian,16.9
42,Male,MBA,17,Product Manager,Urban,Chennai,Indian,62.4
26,Female,M.Tech,1,QA Engineer,Suburban,Hyderabad,Indian,7.8
51,Male,B.Com,26,System Admin,Urban,Kolkata,Indian,28.7
38,Female,B.Sc,13,Business Analyst,Urban,Pune,Indian,19.2
33,Male,PhD,8,ML Engineer,Urban,Delhi,Indian,38.4
28,Female,M.Tech,3,Software Developer,Urban,Mumbai,Indian,16.8
45,Male,B.Tech,20,Frontend Developer,Urban,Ahmedabad,Indian,27.2
36,Female,MBA,11,Product Manager,Suburban,Bangalore,Indian,48.9
31,Male,Diploma,6,Data Scientist,Urban,Jaipur,Indian,15.3
27,Female,B.Com,2,DevOps Engineer,Rural,Lucknow,Indian,8.9
48,Male,M.Sc,23,ML Engineer,Urban,Chennai,Indian,67.8
39,Female,B.Tech,14,Backend Developer,Urban,Hyderabad,Indian,31.2
25,Male,PhD,0,System Admin,Urban,Mumbai,Indian,14.7
52,Female,MBA,27,Product Manager,Urban,Kolkata,Indian,89.6
37,Male,M.Tech,12,QA Engineer,Urban,Pune,Indian,17.4
34,Female,B.Sc,9,Software Developer,Suburban,Delhi,Indian,19.8
30,Male,B.Com,5,Business Analyst,Urban,Bangalore,Indian,16.2
41,Female,Diploma,16,Frontend Developer,Urban,Chennai,Indian,19.7
28,Male,M.Sc,3,Data Scientist,Urban,Ahmedabad,Indian,17.6
46,Female,B.Tech,21,DevOps Engineer,Urban,Hyderabad,Indian,42.8
35,Male,PhD,10,ML Engineer,Suburban,Mumbai,Indian,45.7
32,Female,MBA,7,Product Manager,Urban,Kolkata,Indian,31.4
29,Male,M.Tech,4,Backend Developer,Urban,Jaipur,Indian,13.2
43,Female,B.Com,18,System Admin,Rural,Lucknow,Indian,15.8
38,Male,B.Sc,13,QA Engineer,Urban,Pune,Indian,15.7
26,Female,B.Tech,1,Software Developer,Urban,Delhi,Indian,10.4
49,Male,MBA,24,Product Manager,Urban,Bangalore,Indian,94.7
36,Female,M.Sc,11,Data Scientist,Urban,Chennai,Indian,34.2
33,Male,Diploma,8,Frontend Developer,Suburban,Mumbai,Indian,16.8
40,Female,PhD,15,ML Engineer,Urban,Hyderabad,German,78.9
31,Male,B.Com,6,DevOps Engineer,Urban,Kolkata,Indian,14.8
28,Female,B.Tech,3,Business Analyst,Urban,Ahmedabad,Indian,11.7
45,Male,M.Sc,20,Backend Developer,Urban,Pune,Indian,32.4
37,Female,MBA,12,System Admin,Urban,Delhi,Indian,24.8
34,Male,B.Sc,9,Product Manager,Suburban,Bangalore,Indian,32.7
30,Female,M.Tech,5,QA Engineer,Urban,Chennai,Indian,10.8
42,Male,PhD,17,Data Scientist,Urban,Mumbai,Indian,58.9
27,Female,Diploma,2,Software Developer,Rural,Jaipur,Indian,7.6
51,Male,B.Com,26,ML Engineer,Urban,Hyderabad,Indian,52.8
38,Female,B.Tech,13,Frontend Developer,Urban,Kolkata,Indian,21.7
35,Male,MBA,10,DevOps Engineer,Suburban,Pune,Indian,28.5
29,Female,M.Sc,4,Business Analyst,Urban,Delhi,Indian,15.8
44,Male,B.Sc,19,Product Manager,Urban,Bangalore,Indian,56.2
31,Female,PhD,6,Backend Developer,Urban,Chennai,Indian,24.6
28,Male,Diploma,3,System Admin,Urban,Ahmedabad,Indian,9.8
47,Female,M.Tech,22,Data Scientist,Urban,Mumbai,Indian,64.7
39,Male,B.Com,14,QA Engineer,Suburban,Hyderabad,Indian,16.2
26,Female,B.Tech,1,Software Developer,Rural,Lucknow,Indian,6.9
50,Male,MBA,25,ML Engineer,Urban,Kolkata,Indian,72.4
36,Female,M.Sc,11,Product Manager,Urban,Pune,Indian,38.7
33,Male,B.Sc,8,Frontend Developer,Urban,Delhi,Indian,16.2
32,Female,PhD,7,DevOps Engineer,Urban,Bangalore,Indian,31.8
29,Male,Diploma,4,Backend Developer,Suburban,Chennai,Indian,11.7
41,Female,M.Tech,16,Business Analyst,Urban,Mumbai,Indian,31.9
28,Male,B.Com,3,System Admin,Urban,Jaipur,Indian,9.4
46,Female,B.Tech,21,Data Scientist,Urban,Hyderabad,Indian,51.6
37,Male,MBA,12,QA Engineer,Urban,Kolkata,Indian,19.8
34,Female,B.Sc,9,Software Developer,Suburban,Ahmedabad,Indian,17.2
31,Male,M.Sc,6,ML Engineer,Urban,Pune,Indian,24.7
28,Female,PhD,3,Product Manager,Rural,Lucknow,Indian,19.6
43,Male,Diploma,18,Frontend Developer,Urban,Delhi,Indian,21.4
40,Female,M.Tech,15,DevOps Engineer,Urban,Bangalore,Indian,35.7
35,Male,B.Com,10,Backend Developer,Suburban,Chennai,Indian,17.8
32,Female,B.Tech,7,Business Analyst,Urban,Mumbai,Indian,18.2
29,Male,MBA,4,System Admin,Urban,Hyderabad,Indian,16.8
48,Female,M.Sc,23,Data Scientist,Urban,Kolkata,American,74.6
39,Male,B.Sc,14,QA Engineer,Urban,Pune,Indian,16.9
26,Female,PhD,1,Software Developer,Urban,Delhi,Indian,18.2
51,Male,Diploma,26,ML Engineer,Suburban,Bangalore,Indian,52.7
38,Female,M.Tech,13,Product Manager,Urban,Chennai,Indian,42.8
35,Male,B.Com,10,Frontend Developer,Urban,Ahmedabad,Indian,17.6
30,Female,B.Tech,5,DevOps Engineer,Rural,Jaipur,Indian,11.2
44,Male,MBA,19,Backend Developer,Urban,Mumbai,Indian,47.3
31,Female,M.Sc,6,Business Analyst,Urban,Hyderabad,Indian,16.7
28,Male,B.Sc,3,System Admin,Suburban,Kolkata,Indian,9.8
45,Female,PhD,20,Data Scientist,Urban,Pune,Indian,58.4
36,Male,Diploma,11,QA Engineer,Urban,Delhi,Indian,13.6
33,Female,M.Tech,8,Software Developer,Urban,Bangalore,Indian,21.8
40,Male,B.Com,15,ML Engineer,Urban,Chennai,Indian,34.2
27,Female,B.Tech,2,Product Manager,Suburban,Mumbai,Indian,19.7
52,Male,MBA,27,Frontend Developer,Urban,Hyderabad,Indian,41.6
37,Female,M.Sc,12,DevOps Engineer,Urban,Kolkata,Indian,26.8
34,Male,B.Sc,9,Backend Developer,Rural,Ahmedabad,Indian,16.1
31,Female,PhD,6,Business Analyst,Urban,Pune,Indian,21.7
28,Male,Diploma,3,System Admin,Urban,Jaipur,Indian,8.9
49,Female,M.Tech,24,Data Scientist,Urban,Delhi,British,89.4
38,Male,B.Com,13,QA Engineer,Suburban,Bangalore,Indian,17.2
35,Female,B.Tech,10,Software Developer,Urban,Chennai,Indian,21.7
32,Male,MBA,7,ML Engineer,Urban,Mumbai,Indian,32.8
29,Female,M.Sc,4,Product Manager,Urban,Hyderabad,Indian,24.1
46,Male,B.Sc,21,Frontend Developer,Urban,Kolkata,Indian,26.4
33,Female,PhD,8,DevOps Engineer,Suburban,Pune,Indian,28.6
40,Male,Diploma,15,Backend Developer,Urban,Ahmedabad,Indian,21.7
27,Female,M.Tech,2,Business Analyst,Rural,Lucknow,Indian,9.2
51,Male,B.Com,26,System Admin,Urban,Delhi,Indian,28.4
38,Female,B.Tech,13,Data Scientist,Urban,Bangalore,Indian,36.8
35,Male,MBA,10,QA Engineer,Suburban,Chennai,Indian,18.7
30,Female,M.Sc,5,Software Developer,Urban,Mumbai,Indian,18.9
43,Male,B.Sc,18,ML Engineer,Urban,Hyderabad,Indian,42.6
34,Female,PhD,9,Product Manager,Urban,Kolkata,Indian,41.7
31,Male,Diploma,6,Frontend Developer,Urban,Pune,Indian,12.8
28,Female,M.Tech,3,DevOps Engineer,Suburban,Jaipur,Indian,11.2
47,Male,B.Com,22,Backend Developer,Urban,Delhi,Indian,31.6
39,Female,B.Tech,14,Business Analyst,Rural,Ahmedabad,Indian,19.8
26,Male,MBA,1,System Admin,Urban,Bangalore,Indian,12.7
50,Female,M.Sc,25,Data Scientist,Urban,Chennai,Indian,67.8
36,Male,B.Sc,11,QA Engineer,Suburban,Mumbai,Indian,16.9
33,Female,PhD,8,Software Developer,Urban,Hyderabad,Indian,32.4
30,Male,Diploma,5,ML Engineer,Urban,Kolkata,Indian,21.8
41,Female,M.Tech,16,Product Manager,Urban,Pune,Indian,52.7
28,Male,B.Com,3,Frontend Developer,Rural,Lucknow,Indian,8.1
45,Female,B.Tech,20,DevOps Engineer,Urban,Delhi,Indian,41.2
37,Male,MBA,12,Backend Developer,Suburban,Bangalore,Indian,37.8
34,Female,M.Sc,9,Business Analyst,Urban,Chennai,Indian,21.4
31,Male,B.Sc,6,System Admin,Urban,Mumbai,Indian,14.7
28,Female,PhD,3,Data Scientist,Urban,Jaipur,Indian,19.8
48,Male,Diploma,23,QA Engineer,Urban,Hyderabad,Indian,21.6
39,Female,M.Tech,14,Software Developer,Suburban,Kolkata,Indian,28.7
26,Male,B.Com,1,ML Engineer,Rural,Ahmedabad,Indian,11.2
52,Female,B.Tech,27,Product Manager,Urban,Pune,Indian,72.4
37,Male,MBA,12,Frontend Developer,Urban,Delhi,Indian,34.2
35,Female,M.Sc,10,DevOps Engineer,Urban,Bangalore,Indian,28.6
32,Male,B.Sc,7,Backend Developer,Suburban,Chennai,Indian,16.8
29,Female,PhD,4,Business Analyst,Urban,Mumbai,Indian,24.7
44,Male,Diploma,19,System Admin,Urban,Hyderabad,Indian,21.8
31,Female,M.Tech,6,Data Scientist,Rural,Kolkata,Indian,19.4
28,Male,B.Com,3,QA Engineer,Urban,Jaipur,Indian,8.9
46,Female,B.Tech,21,Software Developer,Urban,Pune,Indian,42.8
38,Male,MBA,13,ML Engineer,Suburban,Delhi,Indian,47.2
35,Female,M.Sc,10,Product Manager,Urban,Bangalore,Indian,38.7
32,Male,B.Sc,7,Frontend Developer,Urban,Chennai,Indian,14.6
29,Female,PhD,4,DevOps Engineer,Urban,Mumbai,Indian,27.8
41,Male,Diploma,16,Backend Developer,Urban,Ahmedabad,Indian,22.4
28,Female,M.Tech,3,Business Analyst,Suburban,Hyderabad,Indian,12.8
49,Male,B.Com,24,System Admin,Rural,Kolkata,Indian,23.1
36,Female,B.Tech,11,Data Scientist,Urban,Pune,Indian,28.9
33,Male,MBA,8,QA Engineer,Urban,Delhi,Indian,17.2
30,Female,M.Sc,5,Software Developer,Urban,Bangalore,Indian,18.7
43,Male,B.Sc,18,ML Engineer,Suburban,Chennai,Indian,41.8
34,Female,PhD,9,Product Manager,Urban,Mumbai,German,57.6
31,Male,Diploma,6,Frontend Developer,Urban,Hyderabad,Indian,13.2
28,Female,M.Tech,3,DevOps Engineer,Rural,Jaipur,Indian,8.9
47,Male,B.Com,22,Backend Developer,Urban,Kolkata,Indian,27.4
39,Female,B.Tech,14,Business Analyst,Urban,Pune,Indian,24.8
26,Male,MBA,1,System Admin,Suburban,Ahmedabad,Indian,9.8
51,Female,M.Sc,26,Data Scientist,Urban,Delhi,Indian,72.1
38,Male,B.Sc,13,QA Engineer,Urban,Bangalore,Indian,17.6
35,Female,PhD,10,Software Developer,Urban,Chennai,Indian,34.2
32,Male,Diploma,7,ML Engineer,Rural,Mumbai,Indian,28.7
29,Female,M.Tech,4,Product Manager,Urban,Hyderabad,Indian,26.8
44,Male,B.Com,19,Frontend Developer,Urban,Kolkata,Indian,24.2
31,Female,B.Tech,6,DevOps Engineer,Suburban,Pune,Indian,16.1
28,Male,MBA,3,Backend Developer,Urban,Jaipur,Indian,14.6
45,Female,M.Sc,20,Business Analyst,Urban,Delhi,Indian,28.7
37,Male,B.Sc,12,System Admin,Rural,Bangalore,Indian,16.8
34,Female,PhD,9,Data Scientist,Urban,Chennai,Indian,34.7
31,Male,Diploma,6,QA Engineer,Urban,Mumbai,Indian,11.8
28,Female,M.Tech,3,Software Developer,Suburban,Ahmedabad,Indian,12.8
48,Male,B.Com,23,ML Engineer,Urban,Hyderabad,Indian,54.2
39,Female,B.Tech,14,Product Manager,Urban,Kolkata,Indian,42.7
26,Male,MBA,1,Frontend Developer,Rural,Pune,Indian,8.9
50,Female,M.Sc,25,DevOps Engineer,Urban,Delhi,Indian,54.7
36,Male,B.Sc,11,Backend Developer,Urban,Bangalore,Indian,24.8
33,Female,PhD,8,Business Analyst,Suburban,Chennai,Indian,27.4
30,Male,Diploma,5,System Admin,Urban,Mumbai,Indian,13.6
41,Female,M.Tech,16,Data Scientist,Urban,Jaipur,Indian,34.2
28,Male,B.Com,3,QA Engineer,Rural,Hyderabad,Indian,7.8
47,Female,B.Tech,22,Software Developer,Urban,Kolkata,Indian,39.6
38,Male,MBA,13,ML Engineer,Urban,Pune,Indian,42.7
35,Female,M.Sc,10,Product Manager,Suburban,Delhi,Indian,34.8
32,Male,B.Sc,7,Frontend Developer,Urban,Bangalore,Indian,16.2
29,Female,PhD,4,DevOps Engineer,Urban,Chennai,Indian,24.7
44,Male,Diploma,19,Backend Developer,Urban,Ahmedabad,Indian,26.8
31,Female,M.Tech,6,Business Analyst,Rural,Mumbai,Indian,17.8
28,Male,B.Com,3,System Admin,Urban,Hyderabad,Indian,11.2
49,Female,B.Tech,24,Data Scientist,Urban,Kolkata,Indian,54.7
36,Male,MBA,11,QA Engineer,Suburban,Pune,Indian,18.9
33,Female,M.Sc,8,Software Developer,Urban,Jaipur,Indian,16.2
30,Male,B.Sc,5,ML Engineer,Urban,Delhi,Indian,21.7
43,Female,PhD,18,Product Manager,Rural,Bangalore,Indian,62.4
34,Male,Diploma,9,Frontend Developer,Urban,Chennai,Indian,16.8
31,Female,M.Tech,6,DevOps Engineer,Urban,Mumbai,Indian,19.7
28,Male,B.Com,3,Backend Developer,Suburban,Ahmedabad,Indian,11.2
45,Female,B.Tech,20,Business Analyst,Urban,Hyderabad,Indian,36.8
37,Male,MBA,12,System Admin,Urban,Kolkata,Indian,24.7
34,Female,M.Sc,9,Data Scientist,Rural,Pune,Indian,21.8
31,Male,B.Sc,6,QA Engineer,Urban,Delhi,Indian,13.2
28,Female,PhD,3,Software Developer,Urban,Bangalore,Indian,21.7
48,Male,Diploma,23,ML Engineer,Suburban,Chennai,Indian,47.2
39,Female,M.Tech,14,Product Manager,Urban,Mumbai,Indian,52.8
26,Male,B.Com,1,Frontend Developer,Urban,Jaipur,Indian,7.4
52,Female,B.Tech,27,DevOps Engineer,Rural,Hyderabad,Indian,36.8
37,Male,MBA,12,Backend Developer,Urban,Kolkata,Indian,31.2
35,Female,M.Sc,10,Business Analyst,Urban,Pune,Indian,21.8
32,Male,B.Sc,7,System Admin,Suburban,Delhi,Indian,12.7
29,Female,PhD,4,Data Scientist,Urban,Bangalore,American,42.6
44,Male,Diploma,19,QA Engineer,Urban,Chennai,Indian,17.8
31,Female,M.Tech,6,Software Developer,Rural,Mumbai,Indian,18.4
28,Male,B.Com,3,ML Engineer,Urban,Ahmedabad,Indian,14.7
46,Female,B.Tech,21,Product Manager,Urban,Hyderabad,Indian,72.8
38,Male,MBA,13,Frontend Developer,Suburban,Kolkata,Indian,26.1
35,Female,M.Sc,10,DevOps Engineer,Urban,Pune,Indian,24.7
32,Male,B.Sc,7,Backend Developer,Urban,Jaipur,Indian,13.8
29,Female,PhD,4,Business Analyst,Rural,Delhi,Indian,17.2
41,Male,Diploma,16,System Admin,Urban,Bangalore,Indian,21.7
28,Female,M.Tech,3,Data Scientist,Urban,Chennai,Indian,16.8
49,Male,B.Com,24,QA Engineer,Suburban,Mumbai,Indian,21.4
36,Female,B.Tech,11,Software Developer,Urban,Hyderabad,Indian,28.7
33,Male,MBA,8,ML Engineer,Urban,Kolkata,Indian,32.4
30,Female,M.Sc,5,Product Manager,Rural,Pune,Indian,21.8
43,Male,B.Sc,18,Frontend Developer,Urban,Delhi,Indian,26.4
34,Female,PhD,9,DevOps Engineer,Urban,Bangalore,Indian,36.8
31,Male,Diploma,6,Backend Developer,Suburban,Chennai,Indian,14.2
28,Female,M.Tech,3,Business Analyst,Urban,Ahmedabad,Indian,12.8
47,Male,B.Com,22,System Admin,Urban,Mumbai,Indian,31.2
39,Female,B.Tech,14,Data Scientist,Rural,Jaipur,Indian,24.1
26,Male,MBA,1,QA Engineer,Urban,Hyderabad,Indian,9.7
50,Female,M.Sc,25,Software Developer,Urban,Kolkata,Indian,47.2
36,Male,B.Sc,11,ML Engineer,Suburban,Pune,Indian,28.4
33,Female,PhD,8,Product Manager,Urban,Delhi,Indian,42.7
30,Male,Diploma,5,Frontend Developer,Urban,Bangalore,Indian,14.2
41,Female,M.Tech,16,DevOps Engineer,Rural,Chennai,Indian,26.8
28,Male,B.Com,3,Backend Developer,Urban,Mumbai,Indian,14.7
45,Female,B.Tech,20,Business Analyst,Urban,Ahmedabad,Indian,32.4
37,Male,MBA,12,System Admin,Suburban,Hyderabad,Indian,22.1
34,Female,M.Sc,9,Data Scientist,Urban,Kolkata,Indian,26.8
31,Male,B.Sc,6,QA Engineer,Urban,Pune,Indian,11.4
28,Female,PhD,3,Software Developer,Rural,Jaipur,Indian,14.6
48,Male,Diploma,23,ML Engineer,Urban,Delhi,Indian,42.7
39,Female,M.Tech,14,Product Manager,Urban,Bangalore,Indian,58.4
26,Male,B.Com,1,Frontend Developer,Suburban,Chennai,Indian,7.8
52,Female,B.Tech,27,DevOps Engineer,Urban,Mumbai,Indian,56.2
37,Male,MBA,12,Backend Developer,Urban,Hyderabad,Indian,36.8
35,Female,M.Sc,10,Business Analyst,Rural,Kolkata,Indian,17.2
32,Male,B.Sc,7,System Admin,Urban,Pune,Indian,12.8
29,Female,PhD,4,Data Scientist,Urban,Delhi,Indian,28.7
44,Male,Diploma,19,QA Engineer,Suburban,Bangalore,Indian,19.4
31,Female,M.Tech,6,Software Developer,Urban,Chennai,Indian,17.8
28,Male,B.Com,3,ML Engineer,Urban,Ahmedabad,Indian,13.2
46,Female,B.Tech,21,Product Manager,Rural,Mumbai,Indian,64.2
38,Male,MBA,13,Frontend Developer,Urban,Jaipur,Indian,22.4
35,Female,M.Sc,10,DevOps Engineer,Urban,Hyderabad,Indian,27.8
32,Male,B.Sc,7,Backend Developer,Suburban,Kolkata,Indian,14.7
29,Female,PhD,4,Business Analyst,Urban,Pune,Indian,21.8
41,Male,Diploma,16,System Admin,Urban,Delhi,Indian,18.9
28,Female,M.Tech,3,Data Scientist,Rural,Bangalore,Indian,15.2
49,Male,B.Com,24,QA Engineer,Urban,Chennai,Indian,21.7
